Date;Close;Open
01/05/2024;169.3;169.58
02/05/2024;173.03;172.51
03/05/2024;183.38;186.645
06/05/2024;181.71;182.354
07/05/2024;182.4;183.45
08/05/2024;182.74;182.85
09/05/2024;184.57;182.56
10/05/2024;183.05;184.9
13/05/2024;186.28;185.435
14/05/2024;187.43;187.51
15/05/2024;189.72;187.91
16/05/2024;189.84;190.47
17/05/2024;189.87;189.51
20/05/2024;191.04;189.325
21/05/2024;192.35;191.09
22/05/2024;190.9;192.265
23/05/2024;186.88;190.98
24/05/2024;189.98;188.82
28/05/2024;189.99;191.51
29/05/2024;190.29;189.61
30/05/2024;191.29;190.76
31/05/2024;192.25;191.44
03/06/2024;194.03;192.9
04/06/2024;194.35;194.635
05/06/2024;195.87;195.4
06/06/2024;194.48;195.685
07/06/2024;196.89;194.65
10/06/2024;193.12;196.9
11/06/2024;207.15;193.65
12/06/2024;213.07;207.37
13/06/2024;214.24;214.74
14/06/2024;212.49;213.85
17/06/2024;216.67;213.37
18/06/2024;214.29;217.59
20/06/2024;209.68;213.93
21/06/2024;207.49;210.39
24/06/2024;208.14;207.72
25/06/2024;209.07;209.15
26/06/2024;213.25;211.5
27/06/2024;214.1;214.69
28/06/2024;210.62;215.77
01/07/2024;216.75;212.09
02/07/2024;220.27;216.15
03/07/2024;221.55;220
05/07/2024;226.34;221.65
08/07/2024;227.82;227.09
09/07/2024;228.68;227.93
10/07/2024;232.98;229.3
11/07/2024;227.57;231.39
12/07/2024;230.54;228.92
15/07/2024;234.4;236.48
16/07/2024;234.82;235
17/07/2024;228.88;229.45
18/07/2024;224.18;230.28
19/07/2024;224.31;224.82
22/07/2024;223.96;227.01
23/07/2024;225.01;224.365
24/07/2024;218.54;224
25/07/2024;217.49;218.93
26/07/2024;217.96;218.7
29/07/2024;218.24;216.96
30/07/2024;218.8;219.19
31/07/2024;222.08;221.44
01/08/2024;218.36;224.37
02/08/2024;219.86;219.15
05/08/2024;209.27;199.09
06/08/2024;207.23;205.3
07/08/2024;209.82;206.9
08/08/2024;213.31;213.11
09/08/2024;216.24;212.1
12/08/2024;217.53;216.07
13/08/2024;221.27;219.01
14/08/2024;221.72;220.57
15/08/2024;224.72;224.6
16/08/2024;226.05;223.92
19/08/2024;225.89;225.72
20/08/2024;226.51;225.77
21/08/2024;226.4;226.52
22/08/2024;224.53;227.79
23/08/2024;226.84;225.6589
26/08/2024;227.18;226.76
27/08/2024;228.03;225.995
28/08/2024;226.49;227.92
29/08/2024;229.79;230.1
30/08/2024;229;230.19
03/09/2024;222.77;228.55
04/09/2024;220.85;221.66
05/09/2024;222.38;221.625
06/09/2024;220.82;223.95
09/09/2024;220.91;220.82
10/09/2024;220.11;218.92
11/09/2024;222.66;221.455
12/09/2024;222.77;222.5
13/09/2024;222.5;223.58
16/09/2024;216.32;216.54
17/09/2024;216.79;215.75
18/09/2024;220.69;217.55
19/09/2024;228.87;224.99
20/09/2024;228.2;229.97
23/09/2024;226.47;227.34
24/09/2024;227.37;228.645
25/09/2024;226.37;224.93
26/09/2024;227.52;227.3
27/09/2024;227.79;228.46
30/09/2024;233;230.04
01/10/2024;226.21;229.52
02/10/2024;226.78;225.89
03/10/2024;225.67;225.14
04/10/2024;226.8;227.9
07/10/2024;221.69;224.5
08/10/2024;225.77;224.3
09/10/2024;229.54;225.23
10/10/2024;229.04;227.78
11/10/2024;227.55;229.3
14/10/2024;231.3;228.7
15/10/2024;233.85;233.61
16/10/2024;231.78;231.6
17/10/2024;232.15;233.43
18/10/2024;235;236.18
21/10/2024;236.48;234.45
22/10/2024;235.86;233.885
23/10/2024;230.76;234.08
24/10/2024;230.57;229.98
25/10/2024;231.41;229.74
28/10/2024;233.4;233.32
29/10/2024;233.67;233.1
30/10/2024;230.1;232.61
31/10/2024;225.91;229.34
01/11/2024;222.91;220.965
04/11/2024;222.01;220.99
05/11/2024;223.45;221.795
06/11/2024;222.72;222.61
07/11/2024;227.48;224.625
08/11/2024;226.96;227.17
11/11/2024;224.23;225
12/11/2024;224.23;224.55
13/11/2024;225.12;224.01
14/11/2024;228.22;225.02
15/11/2024;225;226.4
18/11/2024;228.02;225.25
19/11/2024;228.28;226.98
20/11/2024;229;228.06
21/11/2024;228.52;228.88
22/11/2024;229.87;228.06
25/11/2024;232.87;231.46
26/11/2024;235.06;233.33
27/11/2024;234.93;234.465
29/11/2024;237.33;234.805
02/12/2024;239.59;237.27
03/12/2024;242.65;239.81
04/12/2024;243.01;242.87
05/12/2024;243.04;243.99
06/12/2024;242.84;242.905
09/12/2024;246.75;241.83
10/12/2024;247.77;246.89
11/12/2024;246.49;247.96
12/12/2024;247.96;246.89
13/12/2024;248.13;247.815
16/12/2024;251.04;247.99
17/12/2024;253.48;250.08
18/12/2024;248.05;252.16
19/12/2024;249.79;247.5
20/12/2024;254.49;248.04
23/12/2024;255.27;254.77
24/12/2024;258.2;255.49
26/12/2024;259.02;258.19
27/12/2024;255.59;257.83
30/12/2024;252.2;252.23
31/12/2024;250.42;252.44
02/01/2025;243.85;248.93
03/01/2025;243.36;243.36
06/01/2025;245;244.31
07/01/2025;242.21;242.98
08/01/2025;242.7;241.92
10/01/2025;236.85;240.01
13/01/2025;234.4;233.53
14/01/2025;233.28;234.75
15/01/2025;237.87;234.635
16/01/2025;228.26;237.35
17/01/2025;229.98;232.115
21/01/2025;222.64;224
22/01/2025;223.83;219.79
23/01/2025;223.66;224.74
24/01/2025;222.78;224.78
27/01/2025;229.86;224.02
28/01/2025;238.26;230.85
29/01/2025;239.36;234.12
30/01/2025;237.59;238.665
31/01/2025;236;247.19
03/02/2025;228.01;229.99
04/02/2025;232.8;227.25
05/02/2025;232.47;228.53
06/02/2025;233.22;231.285
07/02/2025;227.63;232.6
10/02/2025;227.65;229.57
11/02/2025;232.62;228.2
12/02/2025;236.87;231.2
13/02/2025;241.53;236.91
14/02/2025;244.6;241.25
18/02/2025;244.47;244.15
19/02/2025;244.87;244.66
20/02/2025;245.83;244.94
21/02/2025;245.55;245.95
24/02/2025;247.1;244.925
25/02/2025;247.04;248
26/02/2025;240.36;244.33
27/02/2025;237.3;239.41
28/02/2025;241.84;236.95
03/03/2025;238.03;241.79
04/03/2025;235.93;237.705
05/03/2025;235.74;235.42
06/03/2025;235.33;234.435
07/03/2025;239.07;235.105
10/03/2025;227.48;235.54
11/03/2025;220.84;223.805
12/03/2025;216.98;220.14
13/03/2025;209.68;215.95
14/03/2025;213.49;211.25
17/03/2025;214;213.31
18/03/2025;212.69;214.16
19/03/2025;215.24;214.22
20/03/2025;214.1;213.99
21/03/2025;218.27;211.56
24/03/2025;220.73;221
25/03/2025;223.75;220.77
26/03/2025;221.53;223.51
