Date;Close;Open
01/05/2024; $10.91 ; $11.03 
02/05/2024; $12.76 ; $11.11 
03/05/2024; $16.47 ; $12.42 
06/05/2024; $16.31 ; $14.99 
07/05/2024; $16.31 ; $15.85 
08/05/2024; $15.92 ; $16.05 
09/05/2024; $18.01 ; $15.90 
10/05/2024; $17.46 ; $17.93 
13/05/2024; $30.45 ; $26.34 
14/05/2024; $48.75 ; $64.83 
15/05/2024; $39.55 ; $40.31 
16/05/2024; $27.67 ; $33.98 
17/05/2024; $22.21 ; $21.86 
20/05/2024; $23.14 ; $21.54 
21/05/2024; $22.12 ; $22.24 
22/05/2024; $21.12 ; $21.56 
23/05/2024; $18.32 ; $21.40 
24/05/2024; $19.00 ; $18.42 
28/05/2024; $23.78 ; $23.10 
29/05/2024; $21.24 ; $22.00 
30/05/2024; $22.61 ; $21.02 
31/05/2024; $23.14 ; $22.58 
03/06/2024; $28.00 ; $40.19 
04/06/2024; $26.50 ; $26.26 
05/06/2024; $31.57 ; $26.30 
06/06/2024; $46.55 ; $31.57 
07/06/2024; $28.22 ; $37.69 
10/06/2024; $24.83 ; $28.97 
11/06/2024; $30.49 ; $24.40 
12/06/2024; $25.46 ; $29.17 
13/06/2024; $29.12 ; $26.56 
14/06/2024; $28.70 ; $29.23 
17/06/2024; $25.22 ; $28.55 
18/06/2024; $24.70 ; $24.58 
20/06/2024; $25.59 ; $24.25 
21/06/2024; $23.93 ; $25.24 
24/06/2024; $23.65 ; $23.26 
25/06/2024; $24.93 ; $23.60 
26/06/2024; $24.20 ; $24.60 
27/06/2024; $25.09 ; $24.10 
28/06/2024; $24.69 ; $25.02 
01/07/2024; $23.33 ; $23.35 
02/07/2024; $23.98 ; $23.24 
03/07/2024; $24.37 ; $24.03 
05/07/2024; $24.18 ; $24.18 
08/07/2024; $24.45 ; $24.12 
09/07/2024; $24.60 ; $24.60 
10/07/2024; $24.97 ; $25.00 
11/07/2024; $25.57 ; $25.44 
12/07/2024; $26.05 ; $25.76 
15/07/2024; $27.00 ; $25.98 
16/07/2024; $28.54 ; $27.75 
17/07/2024; $27.98 ; $28.40 
18/07/2024; $25.88 ; $27.98 
19/07/2024; $24.97 ; $25.55 
22/07/2024; $25.22 ; $24.84 
23/07/2024; $25.50 ; $25.22 
24/07/2024; $24.01 ; $25.15 
25/07/2024; $23.95 ; $23.59 
26/07/2024; $24.13 ; $24.28 
29/07/2024; $23.60 ; $24.23 
30/07/2024; $22.40 ; $23.60 
31/07/2024; $22.67 ; $22.86 
01/08/2024; $21.71 ; $22.92 
02/08/2024; $21.07 ; $20.95 
05/08/2024; $20.65 ; $18.83 
06/08/2024; $21.28 ; $21.02 
07/08/2024; $20.83 ; $21.15 
08/08/2024; $21.75 ; $21.01 
09/08/2024; $21.93 ; $21.51 
12/08/2024; $21.88 ; $21.98 
13/08/2024; $22.27 ; $21.96 
14/08/2024; $21.99 ; $22.34 
15/08/2024; $22.53 ; $22.25 
16/08/2024; $22.40 ; $22.37 
19/08/2024; $22.66 ; $22.35 
20/08/2024; $22.28 ; $22.50 
21/08/2024; $22.55 ; $22.17 
22/08/2024; $22.12 ; $22.50 
23/08/2024; $22.21 ; $22.25 
26/08/2024; $21.36 ; $22.25 
27/08/2024; $20.74 ; $21.06 
28/08/2024; $19.90 ; $20.71 
29/08/2024; $21.51 ; $20.50 
30/08/2024; $23.42 ; $21.82 
03/09/2024; $23.14 ; $24.15 
04/09/2024; $22.12 ; $22.85 
05/09/2024; $22.39 ; $22.00 
06/09/2024; $23.92 ; $22.40 
09/09/2024; $24.25 ; $23.24 
10/09/2024; $23.45 ; $24.77 
11/09/2024; $20.64 ; $20.82 
12/09/2024; $20.40 ; $20.47 
13/09/2024; $20.65 ; $20.49 
16/09/2024; $20.09 ; $20.45 
17/09/2024; $20.16 ; $20.24 
18/09/2024; $19.65 ; $20.05 
19/09/2024; $19.51 ; $19.89 
20/09/2024; $21.85 ; $19.63 
23/09/2024; $22.31 ; $21.54 
24/09/2024; $22.63 ; $22.61 
25/09/2024; $22.18 ; $22.16 
26/09/2024; $22.29 ; $22.40 
27/09/2024; $22.48 ; $22.39 
30/09/2024; $22.93 ; $22.30 
01/10/2024; $21.97 ; $22.95 
02/10/2024; $21.49 ; $21.86 
03/10/2024; $21.20 ; $21.36 
04/10/2024; $21.40 ; $21.48 
07/10/2024; $20.90 ; $21.35 
08/10/2024; $20.71 ; $20.90 
09/10/2024; $20.50 ; $20.50 
10/10/2024; $20.91 ; $20.47 
11/10/2024; $20.83 ; $20.66 
14/10/2024; $21.33 ; $20.75 
15/10/2024; $21.27 ; $21.45 
16/10/2024; $21.66 ; $21.13 
17/10/2024; $21.41 ; $21.50 
18/10/2024; $21.22 ; $21.41 
21/10/2024; $20.70 ; $21.10 
22/10/2024; $20.93 ; $20.62 
23/10/2024; $20.54 ; $20.73 
24/10/2024; $20.63 ; $20.63 
25/10/2024; $20.57 ; $20.65 
28/10/2024; $22.73 ; $20.84 
29/10/2024; $22.68 ; $22.70 
30/10/2024; $23.28 ; $23.40 
31/10/2024; $22.18 ; $22.83 
01/11/2024; $22.41 ; $22.40 
04/11/2024; $22.33 ; $22.20 
05/11/2024; $22.99 ; $22.32 
06/11/2024; $23.10 ; $23.31 
07/11/2024; $23.45 ; $23.07 
08/11/2024; $24.88 ; $23.44 
11/11/2024; $27.26 ; $25.26 
12/11/2024; $26.84 ; $26.06 
13/11/2024; $26.46 ; $26.26 
14/11/2024; $27.37 ; $27.17 
15/11/2024; $26.59 ; $28.08 
18/11/2024; $26.44 ; $26.65 
19/11/2024; $27.57 ; $25.89 
20/11/2024; $28.45 ; $27.26 
21/11/2024; $27.82 ; $29.09 
22/11/2024; $27.90 ; $27.88 
25/11/2024; $29.67 ; $28.05 
26/11/2024; $30.33 ; $29.40 
27/11/2024; $30.89 ; $30.80 
29/11/2024; $29.05 ; $31.01 
02/12/2024; $27.27 ; $28.96 
03/12/2024; $27.44 ; $26.55 
04/12/2024; $27.03 ; $27.07 
05/12/2024; $28.63 ; $27.00 
06/12/2024; $29.06 ; $29.12 
09/12/2024; $27.93 ; $29.00 
10/12/2024; $26.93 ; $27.88 
11/12/2024; $28.97 ; $27.75 
12/12/2024; $28.75 ; $28.90 
13/12/2024; $27.99 ; $28.70 
16/12/2024; $29.44 ; $27.70 
17/12/2024; $31.26 ; $29.64 
18/12/2024; $28.55 ; $31.10 
19/12/2024; $29.00 ; $29.16 
20/12/2024; $29.82 ; $28.54 
23/12/2024; $30.90 ; $29.82 
24/12/2024; $31.14 ; $31.00 
26/12/2024; $32.99 ; $32.62 
27/12/2024; $32.20 ; $32.39 
30/12/2024; $32.01 ; $31.80 
31/12/2024; $31.34 ; $32.06 
02/01/2025; $30.66 ; $31.84 
03/01/2025; $31.65 ; $30.80 
06/01/2025; $32.82 ; $31.70 
07/01/2025; $33.37 ; $32.80 
08/01/2025; $32.96 ; $32.97 
10/01/2025; $32.31 ; $32.50 
13/01/2025; $31.02 ; $31.60 
14/01/2025; $27.88 ; $31.26 
15/01/2025; $27.96 ; $28.90 
16/01/2025; $27.72 ; $27.94 
17/01/2025; $27.51 ; $27.61 
21/01/2025; $27.47 ; $27.40 
22/01/2025; $27.65 ; $27.36 
23/01/2025; $28.33 ; $27.88 
24/01/2025; $27.77 ; $28.30 
27/01/2025; $26.97 ; $26.92 
28/01/2025; $27.46 ; $27.00 
29/01/2025; $27.51 ; $27.41 
30/01/2025; $27.99 ; $27.84 
31/01/2025; $26.90 ; $27.79 
03/02/2025; $25.89 ; $25.57 
04/02/2025; $25.90 ; $25.85 
05/02/2025; $24.93 ; $25.70 
06/02/2025; $24.80 ; $24.93 
07/02/2025; $24.73 ; $24.90 
10/02/2025; $27.12 ; $25.50 
11/02/2025; $26.56 ; $26.85 
12/02/2025; $25.99 ; $26.12 
13/02/2025; $26.34 ; $25.75 
14/02/2025; $27.00 ; $28.90 
18/02/2025; $26.97 ; $27.03 
19/02/2025; $26.00 ; $26.80 
20/02/2025; $27.04 ; $25.80 
21/02/2025; $26.42 ; $27.25 
24/02/2025; $25.00 ; $26.34 
25/02/2025; $24.42 ; $24.93 
26/02/2025; $24.61 ; $24.54 
27/02/2025; $24.48 ; $25.00 
28/02/2025; $25.04 ; $24.33 
03/03/2025; $24.40 ; $25.26 
04/03/2025; $24.30 ; $23.77 
05/03/2025; $25.07 ; $24.33 
06/03/2025; $24.20 ; $24.74 
07/03/2025; $24.00 ; $24.00 
10/03/2025; $22.42 ; $23.44 
11/03/2025; $22.61 ; $22.35 
12/03/2025; $21.99 ; $22.95 
13/03/2025; $21.95 ; $22.05 
14/03/2025; $23.05 ; $22.29 
17/03/2025; $23.50 ; $23.24 
18/03/2025; $23.30 ; $23.29 
19/03/2025; $23.71 ; $23.40 
20/03/2025; $23.51 ; $23.65 
21/03/2025; $24.75 ; $23.75 
24/03/2025; $25.61 ; $25.35 
25/03/2025; $25.40 ; $25.70 
26/03/2025; $28.36 ; $28.84 
27/03/2025; $22.09 ; $25.87 
28/03/2025; $21.73 ; $21.89 
31/03/2025; $22.32 ; $21.40 
01/04/2025; $22.61 ; $22.76 
02/04/2025; $22.69 ; $22.49 
03/04/2025; $21.10 ; $21.60 
04/04/2025; $23.49 ; $21.42 
07/04/2025; $24.29 ; $22.60 
08/04/2025; $23.39 ; $24.82 
09/04/2025; $25.40 ; $23.03 
10/04/2025; $25.02 ; $25.00 
11/04/2025; $26.40 ; $25.50 
14/04/2025; $26.98 ; $26.66 
15/04/2025; $26.70 ; $26.88 
16/04/2025; $26.25 ; $26.45 
17/04/2025; $26.78 ; $26.21 
21/04/2025; $26.77 ; $26.71 
22/04/2025; $27.80 ; $26.99 
23/04/2025; $27.12 ; $28.20 
24/04/2025; $27.08 ; $27.10 
25/04/2025; $27.46 ; $27.13 
28/04/2025; $27.59 ; $27.40 
29/04/2025; $27.26 ; $27.45 
30/04/2025; $27.86 ; $26.90 
01/05/2025; $27.43 ; $27.98 
