Date;Close;Open
01/05/2024;22.12;21.93
02/05/2024;22.55;22.6
03/05/2024;23.33;23.48
06/05/2024;25.21;24.37
07/05/2024;21.4;21.99
08/05/2024;21.56;21.58
09/05/2024;21.14;21.49
10/05/2024;20.6;21.27
13/05/2024;20.94;20.6
14/05/2024;21.44;20.95
15/05/2024;21.67;21.73
16/05/2024;21.65;21.74
17/05/2024;21.76;21.78
20/05/2024;21.62;21.77
21/05/2024;21.24;21.34
22/05/2024;21.17;21.23
23/05/2024;20.72;21.39
24/05/2024;21.01;20.72
28/05/2024;21.05;21.06
29/05/2024;20.94;20.77
30/05/2024;21.73;21.28
31/05/2024;21.68;21.79
03/06/2024;21.32;21.7
04/06/2024;22.1;21.05
05/06/2024;22.96;22.48
06/06/2024;23.79;22.98
07/06/2024;23.31;23.24
10/06/2024;23.13;22.75
11/06/2024;23.85;23.06
12/06/2024;23.77;24.2
13/06/2024;23.27;23.85
14/06/2024;23.57;23.15
17/06/2024;25.02;23.47
18/06/2024;25.82;25.15
20/06/2024;25.56;26.44
21/06/2024;23.84;24.71
24/06/2024;24.16;23.44
25/06/2024;24.56;24.16
26/06/2024;24.1;24.47
27/06/2024;25.22;24.1
28/06/2024;25.33;25.28
01/07/2024;25.88;25.48
02/07/2024;25.83;25.84
03/07/2024;25.85;25.96
05/07/2024;27.23;26
08/07/2024;27.7;27.93
09/07/2024;27.39;27.93
10/07/2024;28.42;27.5
11/07/2024;27.64;28.49
12/07/2024;28.07;27.32
15/07/2024;28.67;28.42
16/07/2024;28.67;28.18
17/07/2024;28.22;28
18/07/2024;28.64;28.42
19/07/2024;28.58;28.31
22/07/2024;28.46;28.93
23/07/2024;28.81;28.34
24/07/2024;26.6;28.44
25/07/2024;26.63;26.04
26/07/2024;27.18;27
29/07/2024;27.08;27.56
30/07/2024;26.37;27.25
31/07/2024;26.89;27.02
01/08/2024;26.08;27.02
02/08/2024;24.74;24.75
05/08/2024;24.09;21.74
06/08/2024;26.59;27.05
07/08/2024;26.32;27.07
08/08/2024;29.28;27.04
09/08/2024;30.01;29.28
12/08/2024;29.38;30.22
13/08/2024;30.39;29.7887
14/08/2024;31;30.62
15/08/2024;31.22;31.31
16/08/2024;32.08;31.04
19/08/2024;32.5;32.42
20/08/2024;32.32;32.5
21/08/2024;32.54;32.32
22/08/2024;31.92;32.55
23/08/2024;31.78;31.99
26/08/2024;30.85;31.43
27/08/2024;30.84;30.55
28/08/2024;30.36;30.62
29/08/2024;31;30.65
30/08/2024;31.48;31.05
03/09/2024;30.51;31.35
04/09/2024;30.59;30
05/09/2024;30.16;30.24
06/09/2024;30.33;30.6
09/09/2024;34.6;32.7
10/09/2024;34.76;34.81
11/09/2024;34.85;34.01
12/09/2024;34.91;34.86
13/09/2024;35.59;34.97
