Date;Close;Open
01/05/2024; $421.52 ; $423.15 
02/05/2024; $426.90 ; $425.30 
03/05/2024; $435.48 ; $434.44 
06/05/2024; $440.25 ; $437.30 
07/05/2024; $440.32 ; $440.70 
08/05/2024; $440.06 ; $437.67 
09/05/2024; $441.02 ; $440.33 
10/05/2024; $442.06 ; $442.54 
13/05/2024; $443.08 ; $443.99 
14/05/2024; $445.93 ; $442.65 
15/05/2024; $452.90 ; $448.43 
16/05/2024; $451.98 ; $452.71 
17/05/2024; $451.76 ; $452.11 
20/05/2024; $454.91 ; $451.98 
21/05/2024; $455.80 ; $453.04 
22/05/2024; $455.71 ; $456.06 
23/05/2024; $453.66 ; $460.55 
24/05/2024; $457.95 ; $455.29 
28/05/2024; $459.68 ; $459.18 
29/05/2024; $456.44 ; $455.48 
30/05/2024; $451.55 ; $455.50 
31/05/2024; $450.71 ; $451.78 
03/06/2024; $453.13 ; $454.57 
04/06/2024; $454.37 ; $452.87 
05/06/2024; $463.53 ; $457.98 
06/06/2024; $463.37 ; $464.22 
07/06/2024; $462.96 ; $463.00 
10/06/2024; $464.83 ; $461.82 
11/06/2024; $468.02 ; $463.54 
12/06/2024; $474.15 ; $471.99 
13/06/2024; $476.72 ; $477.72 
14/06/2024; $479.19 ; $476.52 
17/06/2024; $485.06 ; $479.46 
18/06/2024; $485.21 ; $485.01 
20/06/2024; $481.47 ; $486.42 
21/06/2024; $480.18 ; $481.19 
24/06/2024; $473.96 ; $478.18 
25/06/2024; $479.38 ; $476.07 
26/06/2024; $480.37 ; $478.55 
27/06/2024; $481.61 ; $480.12 
28/06/2024; $479.11 ; $482.41 
01/07/2024; $481.92 ; $480.04 
02/07/2024; $486.98 ; $480.41 
03/07/2024; $491.04 ; $486.22 
05/07/2024; $496.16 ; $491.89 
08/07/2024; $497.34 ; $496.53 
09/07/2024; $497.77 ; $498.87 
10/07/2024; $502.96 ; $499.71 
11/07/2024; $491.93 ; $503.07 
12/07/2024; $494.82 ; $492.51 
15/07/2024; $496.15 ; $496.61 
16/07/2024; $496.34 ; $497.62 
17/07/2024; $481.77 ; $488.28 
18/07/2024; $479.49 ; $485.53 
19/07/2024; $475.24 ; $479.15 
22/07/2024; $482.32 ; $481.16 
23/07/2024; $480.62 ; $481.41 
24/07/2024; $463.38 ; $473.82 
25/07/2024; $458.27 ; $463.72 
26/07/2024; $462.97 ; $462.65 
29/07/2024; $463.90 ; $465.71 
30/07/2024; $457.53 ; $465.85 
31/07/2024; $471.07 ; $467.87 
01/08/2024; $459.66 ; $471.76 
02/08/2024; $448.75 ; $450.89 
05/08/2024; $435.37 ; $424.71 
06/08/2024; $439.53 ; $437.23 
07/08/2024; $434.77 ; $446.49 
08/08/2024; $448.07 ; $441.06 
09/08/2024; $450.41 ; $446.74 
12/08/2024; $451.38 ; $451.39 
13/08/2024; $462.58 ; $455.82 
14/08/2024; $462.73 ; $463.51 
15/08/2024; $474.42 ; $468.76 
16/08/2024; $475.03 ; $472.62 
19/08/2024; $481.27 ; $475.17 
20/08/2024; $480.26 ; $480.35 
21/08/2024; $482.50 ; $481.05 
22/08/2024; $474.85 ; $484.84 
23/08/2024; $480.00 ; $479.24 
26/08/2024; $475.34 ; $479.45 
27/08/2024; $476.76 ; $473.69 
28/08/2024; $471.35 ; $476.29 
29/08/2024; $470.66 ; $473.28 
30/08/2024; $476.27 ; $475.04 
03/09/2024; $461.81 ; $473.20 
04/09/2024; $460.61 ; $458.67 
05/09/2024; $461.04 ; $458.97 
06/09/2024; $448.69 ; $460.33 
09/09/2024; $454.46 ; $453.06 
10/09/2024; $458.66 ; $456.24 
11/09/2024; $468.62 ; $459.91 
12/09/2024; $473.22 ; $468.65 
13/09/2024; $475.34 ; $472.48 
16/09/2024; $473.24 ; $473.19 
17/09/2024; $473.49 ; $476.29 
18/09/2024; $471.44 ; $474.70 
19/09/2024; $483.36 ; $482.61 
20/09/2024; $482.44 ; $482.49 
23/09/2024; $483.04 ; $482.95 
24/09/2024; $485.37 ; $484.46 
25/09/2024; $485.82 ; $484.74 
26/09/2024; $489.47 ; $493.37 
27/09/2024; $486.75 ; $490.50 
30/09/2024; $488.07 ; $485.78 
01/10/2024; $481.27 ; $487.70 
02/10/2024; $481.95 ; $480.36 
03/10/2024; $481.59 ; $479.74 
04/10/2024; $487.32 ; $487.45 
07/10/2024; $482.10 ; $485.39 
08/10/2024; $489.30 ; $484.66 
09/10/2024; $493.15 ; $489.00 
10/10/2024; $492.59 ; $490.85 
11/10/2024; $493.36 ; $490.74 
14/10/2024; $497.50 ; $495.77 
15/10/2024; $490.85 ; $497.83 
16/10/2024; $490.91 ; $491.18 
17/10/2024; $491.25 ; $496.44 
18/10/2024; $494.47 ; $494.06 
21/10/2024; $495.42 ; $493.25 
22/10/2024; $495.96 ; $492.73 
23/10/2024; $488.36 ; $493.59 
24/10/2024; $492.32 ; $492.11 
25/10/2024; $495.32 ; $495.14 
28/10/2024; $495.40 ; $498.46 
29/10/2024; $500.16 ; $495.72 
30/10/2024; $496.38 ; $499.39 
31/10/2024; $483.85 ; $492.38 
01/11/2024; $487.43 ; $485.50 
04/11/2024; $486.01 ; $486.82 
05/11/2024; $492.21 ; $487.61 
06/11/2024; $505.58 ; $500.56 
07/11/2024; $513.54 ; $508.40 
08/11/2024; $514.14 ; $513.04 
11/11/2024; $513.84 ; $515.37 
12/11/2024; $512.91 ; $513.77 
13/11/2024; $512.25 ; $512.40 
14/11/2024; $508.69 ; $511.91 
15/11/2024; $496.57 ; $502.94 
18/11/2024; $500.02 ; $498.13 
19/11/2024; $503.46 ; $497.42 
20/11/2024; $503.17 ; $503.16 
21/11/2024; $504.98 ; $506.24 
22/11/2024; $505.79 ; $504.42 
25/11/2024; $506.59 ; $509.90 
26/11/2024; $509.31 ; $508.08 
27/11/2024; $505.30 ; $508.17 
29/11/2024; $509.74 ; $505.93 
02/12/2024; $515.29 ; $511.01 
03/12/2024; $516.87 ; $513.95 
04/12/2024; $523.26 ; $520.32 
05/12/2024; $521.81 ; $523.31 
06/12/2024; $526.48 ; $522.48 
09/12/2024; $522.38 ; $525.55 
10/12/2024; $520.60 ; $523.62 
11/12/2024; $529.92 ; $525.00 
12/12/2024; $526.50 ; $527.68 
13/12/2024; $530.53 ; $530.46 
16/12/2024; $538.17 ; $533.08 
17/12/2024; $535.80 ; $536.36 
18/12/2024; $516.47 ; $535.15 
19/12/2024; $514.17 ; $521.19 
20/12/2024; $518.66 ; $510.44 
23/12/2024; $522.87 ; $519.55 
24/12/2024; $529.96 ; $524.83 
26/12/2024; $529.60 ; $528.32 
27/12/2024; $522.56 ; $526.01 
30/12/2024; $515.61 ; $515.51 
31/12/2024; $511.23 ; $516.90 
02/01/2025; $510.23 ; $514.30 
03/01/2025; $518.58 ; $513.35 
06/01/2025; $524.54 ; $524.02 
07/01/2025; $515.18 ; $525.59 
08/01/2025; $515.27 ; $515.08 
10/01/2025; $507.19 ; $511.48 
13/01/2025; $505.56 ; $501.20 
14/01/2025; $505.08 ; $508.74 
15/01/2025; $516.70 ; $513.03 
16/01/2025; $513.08 ; $518.98 
17/01/2025; $521.74 ; $522.85 
21/01/2025; $524.80 ; $524.48 
22/01/2025; $531.51 ; $529.57 
23/01/2025; $532.64 ; $529.04 
