Date;Close;Open
01/05/2024; $500.35 ; $501.38 
02/05/2024; $505.03 ; $504.15 
03/05/2024; $511.29 ; $511.16 
06/05/2024; $516.57 ; $513.75 
07/05/2024; $517.14 ; $517.56 
08/05/2024; $517.19 ; $515.26 
09/05/2024; $520.17 ; $517.38 
10/05/2024; $520.84 ; $521.81 
13/05/2024; $520.91 ; $522.56 
14/05/2024; $523.30 ; $521.11 
15/05/2024; $529.78 ; $525.83 
16/05/2024; $528.69 ; $529.88 
17/05/2024; $529.45 ; $528.81 
20/05/2024; $530.06 ; $529.57 
21/05/2024; $531.36 ; $529.28 
22/05/2024; $529.83 ; $530.65 
23/05/2024; $525.96 ; $532.96 
24/05/2024; $529.44 ; $527.85 
28/05/2024; $529.81 ; $530.27 
29/05/2024; $526.10 ; $525.68 
30/05/2024; $522.61 ; $524.52 
31/05/2024; $527.37 ; $523.59 
03/06/2024; $527.80 ; $529.02 
04/06/2024; $528.39 ; $526.46 
05/06/2024; $534.67 ; $530.77 
06/06/2024; $534.66 ; $534.98 
07/06/2024; $534.01 ; $533.66 
10/06/2024; $535.66 ; $533.18 
11/06/2024; $536.95 ; $534.07 
12/06/2024; $541.36 ; $541.63 
13/06/2024; $542.45 ; $543.15 
14/06/2024; $542.78 ; $540.88 
17/06/2024; $547.10 ; $542.08 
18/06/2024; $548.49 ; $547.16 
20/06/2024; $547.00 ; $549.44 
21/06/2024; $544.51 ; $544.40 
24/06/2024; $542.74 ; $544.33 
25/06/2024; $544.83 ; $543.99 
26/06/2024; $545.51 ; $543.69 
27/06/2024; $546.37 ; $545.37 
28/06/2024; $544.22 ; $547.16 
01/07/2024; $545.34 ; $545.63 
02/07/2024; $549.01 ; $543.70 
03/07/2024; $551.46 ; $548.69 
05/07/2024; $554.64 ; $551.77 
08/07/2024; $555.28 ; $555.44 
09/07/2024; $555.82 ; $556.26 
10/07/2024; $561.32 ; $557.07 
11/07/2024; $556.48 ; $561.44 
12/07/2024; $559.99 ; $557.63 
15/07/2024; $561.53 ; $562.03 
16/07/2024; $564.86 ; $562.87 
17/07/2024; $556.94 ; $558.80 
18/07/2024; $552.66 ; $558.51 
19/07/2024; $548.99 ; $552.42 
22/07/2024; $554.65 ; $553.00 
23/07/2024; $553.78 ; $554.54 
24/07/2024; $541.23 ; $548.86 
25/07/2024; $538.41 ; $541.35 
26/07/2024; $544.44 ; $542.28 
29/07/2024; $544.76 ; $546.02 
30/07/2024; $542.00 ; $546.26 
31/07/2024; $550.81 ; $548.98 
01/08/2024; $543.01 ; $552.57 
02/08/2024; $532.90 ; $535.75 
05/08/2024; $517.38 ; $511.64 
06/08/2024; $522.15 ; $519.22 
07/08/2024; $518.66 ; $528.47 
08/08/2024; $530.65 ; $523.91 
09/08/2024; $532.99 ; $529.81 
12/08/2024; $533.27 ; $534.21 
13/08/2024; $542.04 ; $536.53 
14/08/2024; $543.75 ; $542.85 
15/08/2024; $553.07 ; $549.50 
16/08/2024; $554.31 ; $551.42 
19/08/2024; $559.61 ; $554.73 
20/08/2024; $558.70 ; $559.15 
21/08/2024; $560.62 ; $559.77 
22/08/2024; $556.22 ; $562.56 
23/08/2024; $562.13 ; $559.53 
26/08/2024; $560.79 ; $563.18 
27/08/2024; $561.56 ; $559.49 
28/08/2024; $558.30 ; $561.21 
29/08/2024; $558.35 ; $560.31 
30/08/2024; $563.68 ; $560.77 
03/09/2024; $552.08 ; $560.47 
04/09/2024; $550.95 ; $550.20 
05/09/2024; $549.61 ; $550.89 
06/09/2024; $540.36 ; $549.94 
09/09/2024; $546.41 ; $544.65 
10/09/2024; $548.79 ; $548.36 
11/09/2024; $554.42 ; $548.70 
12/09/2024; $559.09 ; $555.01 
13/09/2024; $562.01 ; $559.71 
16/09/2024; $562.84 ; $561.74 
17/09/2024; $563.07 ; $565.10 
18/09/2024; $561.40 ; $563.74 
19/09/2024; $570.98 ; $571.01 
20/09/2024; $568.25 ; $567.84 
23/09/2024; $569.67 ; $569.34 
24/09/2024; $571.30 ; $570.48 
25/09/2024; $570.04 ; $571.14 
26/09/2024; $572.30 ; $574.38 
27/09/2024; $571.47 ; $573.39 
30/09/2024; $573.76 ; $570.42 
01/10/2024; $568.62 ; $573.40 
02/10/2024; $568.86 ; $567.71 
03/10/2024; $567.82 ; $567.36 
04/10/2024; $572.98 ; $572.35 
07/10/2024; $567.80 ; $571.30 
08/10/2024; $573.17 ; $570.42 
09/10/2024; $577.14 ; $573.16 
10/10/2024; $576.13 ; $575.77 
11/10/2024; $579.58 ; $576.05 
14/10/2024; $584.32 ; $581.22 
15/10/2024; $579.78 ; $584.59 
16/10/2024; $582.30 ; $579.78 
17/10/2024; $582.35 ; $585.91 
18/10/2024; $584.59 ; $584.07 
21/10/2024; $583.63 ; $583.85 
22/10/2024; $583.32 ; $581.05 
23/10/2024; $577.99 ; $581.26 
24/10/2024; $579.24 ; $579.98 
25/10/2024; $579.04 ; $581.51 
28/10/2024; $580.83 ; $582.58 
29/10/2024; $581.77 ; $579.85 
30/10/2024; $580.01 ; $581.29 
31/10/2024; $568.64 ; $575.56 
01/11/2024; $571.04 ; $571.32 
04/11/2024; $569.81 ; $571.18 
05/11/2024; $576.70 ; $570.74 
06/11/2024; $591.04 ; $589.20 
07/11/2024; $595.61 ; $593.08 
08/11/2024; $598.19 ; $596.17 
11/11/2024; $598.76 ; $599.81 
12/11/2024; $596.90 ; $598.68 
13/11/2024; $597.19 ; $597.37 
14/11/2024; $593.35 ; $597.32 
15/11/2024; $585.75 ; $589.72 
18/11/2024; $588.15 ; $586.22 
19/11/2024; $590.30 ; $584.71 
20/11/2024; $590.50 ; $590.38 
21/11/2024; $593.67 ; $593.40 
22/11/2024; $595.51 ; $593.66 
25/11/2024; $597.53 ; $599.52 
26/11/2024; $600.65 ; $598.80 
27/11/2024; $598.83 ; $600.46 
29/11/2024; $602.55 ; $599.66 
02/12/2024; $603.63 ; $602.97 
03/12/2024; $603.91 ; $603.39 
04/12/2024; $607.66 ; $605.63 
05/12/2024; $606.66 ; $607.66 
06/12/2024; $607.81 ; $607.44 
09/12/2024; $604.68 ; $607.69 
10/12/2024; $602.80 ; $605.37 
11/12/2024; $607.46 ; $605.78 
12/12/2024; $604.33 ; $606.58 
13/12/2024; $604.21 ; $606.40 
16/12/2024; $606.79 ; $606.00 
17/12/2024; $604.29 ; $604.19 
18/12/2024; $586.28 ; $603.98 
19/12/2024; $586.10 ; $591.36 
20/12/2024; $591.15 ; $581.77 
23/12/2024; $594.69 ; $590.89 
24/12/2024; $601.30 ; $596.06 
26/12/2024; $601.34 ; $599.50 
27/12/2024; $595.01 ; $597.54 
30/12/2024; $588.22 ; $587.89 
31/12/2024; $586.08 ; $589.91 
02/01/2025; $584.64 ; $589.39 
03/01/2025; $591.95 ; $587.53 
06/01/2025; $595.36 ; $596.27 
07/01/2025; $588.63 ; $597.42 
08/01/2025; $589.49 ; $588.70 
10/01/2025; $580.49 ; $585.88 
13/01/2025; $581.39 ; $575.77 
14/01/2025; $582.19 ; $584.36 
15/01/2025; $592.78 ; $590.33 
16/01/2025; $591.64 ; $594.18 
17/01/2025; $597.58 ; $596.96 
21/01/2025; $603.05 ; $600.67 
22/01/2025; $606.44 ; $605.92 
23/01/2025; $609.75 ; $605.80 
24/01/2025; $607.97 ; $609.81 
27/01/2025; $599.37 ; $594.81 
28/01/2025; $604.52 ; $600.62 
29/01/2025; $601.81 ; $603.72 
30/01/2025; $605.04 ; $603.96 
31/01/2025; $601.82 ; $607.50 
03/02/2025; $597.77 ; $592.67 
04/02/2025; $601.78 ; $597.83 
05/02/2025; $604.22 ; $600.64 
06/02/2025; $606.32 ; $605.99 
07/02/2025; $600.77 ; $606.89 
10/02/2025; $604.85 ; $604.03 
11/02/2025; $605.31 ; $602.55 
12/02/2025; $603.36 ; $599.20 
13/02/2025; $609.73 ; $604.48 
14/02/2025; $609.70 ; $609.94 
18/02/2025; $611.49 ; $610.88 
19/02/2025; $612.93 ; $610.08 
20/02/2025; $610.38 ; $611.54 
21/02/2025; $599.94 ; $610.16 
24/02/2025; $597.21 ; $602.02 
25/02/2025; $594.24 ; $597.15 
26/02/2025; $594.54 ; $595.93 
27/02/2025; $585.05 ; $596.85 
28/02/2025; $594.18 ; $585.56 
03/03/2025; $583.77 ; $596.18 
04/03/2025; $576.86 ; $579.71 
05/03/2025; $583.06 ; $576.69 
06/03/2025; $572.71 ; $575.48 
07/03/2025; $575.92 ; $570.90 
10/03/2025; $560.58 ; $567.59 
11/03/2025; $555.92 ; $559.40 
12/03/2025; $558.87 ; $562.17 
13/03/2025; $551.42 ; $558.49 
14/03/2025; $562.81 ; $556.11 
17/03/2025; $567.15 ; $562.79 
18/03/2025; $561.02 ; $564.80 
19/03/2025; $567.13 ; $562.83 
20/03/2025; $565.49 ; $563.33 
21/03/2025; $563.98 ; $559.28 
24/03/2025; $574.08 ; $570.80 
25/03/2025; $575.46 ; $575.30 
26/03/2025; $568.59 ; $575.19 
27/03/2025; $567.08 ; $567.18 
28/03/2025; $555.66 ; $565.53 
31/03/2025; $559.39 ; $549.83 
01/04/2025; $560.97 ; $557.45 
02/04/2025; $564.52 ; $555.05 
03/04/2025; $536.70 ; $545.11 
04/04/2025; $505.28 ; $523.67 
07/04/2025; $504.38 ; $489.19 
08/04/2025; $496.48 ; $521.86 
09/04/2025; $548.62 ; $493.44 
10/04/2025; $524.58 ; $532.17 
11/04/2025; $533.94 ; $523.01 
14/04/2025; $539.12 ; $544.05 
15/04/2025; $537.61 ; $539.68 
16/04/2025; $525.66 ; $531.68 
17/04/2025; $526.41 ; $527.64 
21/04/2025; $513.88 ; $521.16 
22/04/2025; $527.25 ; $520.14 
23/04/2025; $535.42 ; $540.43 
24/04/2025; $546.69 ; $536.72 
25/04/2025; $550.64 ; $546.65 
28/04/2025; $550.85 ; $551.39 
29/04/2025; $554.32 ; $548.91 
30/04/2025; $554.54 ; $547.57 
01/05/2025; $558.47 ; $560.37 
