Date;Close;Open
01/05/2024;0.6624;0.671
02/05/2024;0.7051;0.68
03/05/2024;0.745;0.7059
06/05/2024;0.7028;0.6725
07/05/2024;0.6798;0.701
08/05/2024;0.6684;0.679
09/05/2024;0.64;0.665
10/05/2024;0.6227;0.621
13/05/2024;0.6116;0.621
14/05/2024;0.5627;0.5651
15/05/2024;0.635;0.6
16/05/2024;0.681;0.66
17/05/2024;0.744;0.722
20/05/2024;0.77;0.81
21/05/2024;0.82;0.79
22/05/2024;0.81;0.82
23/05/2024;0.7407;0.781
24/05/2024;0.8099;0.8
28/05/2024;0.919;0.89
29/05/2024;0.9374;0.92
30/05/2024;0.94;0.93
31/05/2024;0.9999;0.94
03/06/2024;1;1.04
04/06/2024;1;1
05/06/2024;1.01;1.02
06/06/2024;1;1.03
07/06/2024;1;1
10/06/2024;0.9999;1
11/06/2024;0.99;0.94
12/06/2024;0.8161;0.92
13/06/2024;0.728;0.77
14/06/2024;0.74;0.701
17/06/2024;0.79;0.7426
18/06/2024;0.72;0.7952
20/06/2024;0.7867;0.7
21/06/2024;0.8;0.7867
24/06/2024;0.948;0.8726
25/06/2024;0.97;0.92
26/06/2024;0.9273;0.93
27/06/2024;0.88;0.92
28/06/2024;0.919;0.882
01/07/2024;0.8856;0.948
02/07/2024;0.859;0.9119
03/07/2024;0.825;0.8999
05/07/2024;0.83;0.82
08/07/2024;0.8205;0.84
09/07/2024;0.811;0.82
10/07/2024;0.84;0.83
11/07/2024;0.82;0.84
12/07/2024;0.808;0.879
15/07/2024;0.8052;0.8344
16/07/2024;0.81;0.8
17/07/2024;0.81;0.81
18/07/2024;0.85;0.835
19/07/2024;0.85;0.81
22/07/2024;0.9;0.88
23/07/2024;0.9001;0.919
24/07/2024;1;0.9879
25/07/2024;0.99;0.98
26/07/2024;0.99;0.99
29/07/2024;1.01;0.99
30/07/2024;1.02;1.03
31/07/2024;1.07;1
01/08/2024;1.04;1.06
02/08/2024;1.0094;1.02
05/08/2024;1.02;0.91
06/08/2024;1.09;0.9653
07/08/2024;1.4;1.1
08/08/2024;1.305;1.4
09/08/2024;1.3514;1.31
12/08/2024;1.45;1.34
13/08/2024;1.36;1.5
14/08/2024;1.09;1.36
15/08/2024;1.18;1.1
